layer,number of cells,total area,mean area,mean radius,mean distance,normalized mean distance,coverage
uniform\u08_40.csv,2200,44.2336245625443,0.020106192982974683,0.08,1.393318189764525,17.416477372056562,6.362565906274066
uniform\u12_14.csv,280,12.666901579274047,0.045238934211693026,0.12000000000000001,1.4511746298333745,12.09312191527812,1.6930321447209915
uniform\u12_15.csv,315,14.2502642766833,0.04523893421169302,0.12000000000000001,1.4457887807263659,12.048239839386381,1.9192267227606379
uniform\u12_20.csv,560,25.333803158548093,0.045238934211693026,0.12000000000000001,1.424009525817586,11.866746048479882,3.51172859188127
uniform\u12_25.csv,875,39.58406743523139,0.04523893421169302,0.12000000000000004,1.4113786143651366,11.761488453042801,5.536440886829415
uniform\u12_30.csv,1230,55.6438890803824,0.04523893421169301,0.12000000000000002,1.403662559043107,11.69718799202589,7.830359415620619
uniform\u12_35.csv,1680,76.00140947564427,0.04523893421169302,0.12000000000000005,1.3977155253169327,11.6476293776411,10.758546191727408
uniform\u12_40.csv,2200,99.52565526572465,0.045238934211693026,0.12,1.393318189764525,11.610984914704376,14.150780297548044
uniform\u16_11.csv,165,13.270087368763287,0.0804247719318987,0.16,1.4809396677291302,9.255872923307063,1.7059793091205646
uniform\u16_15.csv,315,25.333803158548097,0.08042477193189872,0.16,1.4457887807263659,9.036179879539786,3.4080927341234624
uniform\u16_20.csv,560,45.03787228186328,0.08042477193189872,0.16,1.424009525817586,8.900059536359912,6.151541030872127
uniform\u16_25.csv,875,70.37167544041138,0.08042477193189872,0.16,1.4113786143651366,8.821116339782103,9.716435599919611
uniform\u16_30.csv,1230,98.92246947623542,0.08042477193189872,0.16,1.403662559043107,8.77289099401942,13.768355203555341
uniform\u16_35.csv,1680,135.11361684558986,0.08042477193189873,0.15999999999999998,1.3977155253169327,8.73572203323083,18.880224671822724
uniform\u16_40.csv,2200,176.9344982501772,0.08042477193189873,0.16,1.393318189764525,8.708238686028281,24.816960129903197
uniform\u20_09.csv,117,14.70265361880024,0.1256637061435918,0.19999999999999998,1.505912200437326,7.529561002186631,1.8278349740577464
uniform\u20_10.csv,140,17.592918860102845,0.12566370614359176,0.19999999999999996,1.492194254995422,7.460971274977111,2.227673874632878
uniform\u20_15.csv,315,39.58406743523141,0.1256637061435918,0.19999999999999998,1.4457887807263659,7.22894390363183,5.248865265682305
uniform\u20_20.csv,560,70.37167544041138,0.12566370614359176,0.19999999999999998,1.424009525817586,7.120047629087931,9.491148442911124
uniform\u20_25.csv,875,109.9557428756428,0.12566370614359176,0.2,1.4113786143651366,7.056893071825683,15.007173436993456
uniform\u20_30.csv,1230,154.56635855661787,0.12566370614359176,0.2,1.403662559043107,7.018312795215535,21.210572376311138
uniform\u20_35.csv,1680,211.11502632123418,0.12566370614359176,0.2,1.3977155253169327,6.988577626584663,29.129929258747993
uniform\u20_40.csv,2200,276.4601535159019,0.12566370614359176,0.19999999999999996,1.393318189764525,6.966590948822627,38.258368257014226
uniform\u24_07.csv,70,12.666901579274043,0.18095573684677205,0.2399999999999999,1.555474886274862,6.481145359478594,1.4805463289867782
uniform\u24_10.csv,140,25.333803158548086,0.18095573684677205,0.23999999999999996,1.492194254995422,6.217476062480926,3.205629015453454
uniform\u24_15.csv,315,57.0010571067332,0.18095573684677208,0.24000000000000002,1.4457887807263659,6.024119919693191,7.4511830569049495
uniform\u24_20.csv,560,101.33521263419237,0.1809557368467721,0.24000000000000002,1.424009525817586,5.933373024239941,13.521335432982406
uniform\u24_25.csv,875,158.33626974092556,0.18095573684677208,0.24000000000000007,1.4113786143651366,5.880744226521401,21.30732335184702
uniform\u24_30.csv,1230,222.5755563215296,0.18095573684677205,0.24000000000000005,1.403662559043107,5.848593996012945,30.160092735388645
uniform\u24_35.csv,1680,304.00563790257706,0.18095573684677208,0.2400000000000001,1.3977155253169327,5.82381468882055,41.36264169590414
uniform\u24_40.csv,2200,398.1026210628986,0.1809557368467721,0.24,1.393318189764525,5.805492457352188,54.36202980920654
uniform\u28_06.csv,54,13.300246658237752,0.24630086404143986,0.27999999999999997,1.587798609851858,5.670709320899493,1.4927318954804984
uniform\u28_10.csv,140,34.48212096580158,0.24630086404143983,0.2800000000000001,1.492194254995422,5.329265196412219,4.311468186242921
uniform\u28_15.csv,315,77.58477217305355,0.24630086404143983,0.28,1.4457887807263659,5.1635313597370205,10.024867655817037
uniform\u28_20.csv,560,137.9284838632063,0.24630086404143983,0.28,1.424009525817586,5.085748306491378,18.13795524021001
uniform\u28_25.csv,875,215.5132560362599,0.2463008640414399,0.28000000000000014,1.4113786143651366,5.0406379084469135,28.64267179543736
uniform\u28_30.csv,1230,302.950062770971,0.24630086404143983,0.2800000000000001,1.403662559043107,5.0130805680110955,40.475295366579154
uniform\u28_35.csv,1680,413.7854515896189,0.24630086404143983,0.28000000000000014,1.3977155253169327,4.991841161846185,55.545112412834534
uniform\u28_40.csv,2200,541.8619008911676,0.2463008640414398,0.28,1.393318189764525,4.97613639201616,72.98547785680702
uniform\u32_06.csv,54,17.371750737290128,0.321699087727595,0.32,1.587798609851858,4.961870655787056,1.9496906389949336
uniform\u32_10.csv,140,45.03787228186329,0.3216990877275949,0.32,1.492194254995422,4.663107046860693,5.544524017027578
uniform\u32_15.csv,315,101.33521263419239,0.32169908772759487,0.32,1.4457887807263659,4.518089939769893,12.956847764067442
uniform\u32_20.csv,560,180.15148912745312,0.32169908772759487,0.32,1.424009525817586,4.450029768179956,23.377031965821438
uniform\u32_25.csv,875,281.4867017616455,0.32169908772759487,0.32,1.4113786143651366,4.410558169891051,36.87740169734032
uniform\u32_30.csv,1230,395.6898779049417,0.32169908772759487,0.32,1.403662559043107,4.38644549700971,52.16375487581484
uniform\u32_35.csv,1680,540.4544673823594,0.3216990877275949,0.31999999999999995,1.3977155253169327,4.367861016615415,71.55883110760149
uniform\u32_40.csv,2200,707.7379930007088,0.3216990877275949,0.32,1.393318189764525,4.3541193430141405,93.99225573525693
uniform\u36_06.csv,54,21.986122026882803,0.4071504079052371,0.3599999999999999,1.587798609851858,4.41055169403294,2.4675772149779593
uniform\u36_10.csv,140,57.00105710673319,0.4071504079052371,0.35999999999999993,1.492194254995422,4.1449840416539505,6.916255108116327
uniform\u36_15.csv,315,128.25237849014965,0.407150407905237,0.35999999999999993,1.4457887807263659,4.016079946462128,16.160426282190873
uniform\u36_20.csv,560,228.00422842693277,0.4071504079052371,0.35999999999999993,1.424009525817586,3.955582016159962,29.211128420162748
uniform\u36_25.csv,875,356.25660691708237,0.407150407905237,0.36,1.4113786143651366,3.920496151014268,46.054380961568896
uniform\u36_30.csv,1230,500.7950017234416,0.4071504079052371,0.3599999999999999,1.403662559043107,3.8990626640086323,65.0891083511319
uniform\u36_35.csv,1680,684.0126852807982,0.40715040790523704,0.36,1.3977155253169327,3.8825431258803684,89.28847844800171
uniform\u36_40.csv,2200,895.7308973915215,0.40715040790523704,0.35999999999999993,1.393318189764525,3.870328304901459,117.30741293595449
uniform\u40_05.csv,35,17.592918860102845,0.502654824574367,0.4000000000000001,1.657014190424487,4.142535476061217,1.827834974057748
uniform\u40_10.csv,140,70.37167544041138,0.502654824574367,0.3999999999999999,1.492194254995422,3.7304856374885556,8.430798788389685
uniform\u40_15.csv,315,158.33626974092564,0.5026548245743672,0.39999999999999997,1.4457887807263659,3.614471951815915,19.666929222396945
uniform\u40_20.csv,560,281.4867017616455,0.502654824574367,0.39999999999999997,1.424009525817586,3.5600238145439653,35.54092058912109
uniform\u40_25.csv,875,439.8229715025712,0.502654824574367,0.4,1.4113786143651366,3.5284465359128414,56.05325724536801
uniform\u40_30.csv,1230,618.2654342264715,0.502654824574367,0.4,1.403662559043107,3.5091563976077675,79.25013482941695
uniform\u40_35.csv,1680,844.4601052849367,0.502654824574367,0.4,1.3977155253169327,3.4942888132923313,108.70736158939303
uniform\u40_40.csv,2200,1105.8406140636075,0.502654824574367,0.3999999999999999,1.393318189764525,3.4832954744113134,142.80131765151341
uniform\u44_05.csv,35,21.28743182072444,0.608212337734984,0.43999999999999995,1.657014190424487,3.765941341873835,2.211680318609876
uniform\u44_10.csv,140,85.14972728289776,0.608212337734984,0.43999999999999995,1.492194254995422,3.3913505795350503,10.089487805369876
uniform\u44_15.csv,315,191.58688638651992,0.6082123377349838,0.44,1.4457887807263659,3.2858835925599226,23.4895055731372
uniform\u44_20.csv,560,340.59890913159103,0.608212337734984,0.44,1.424009525817586,3.236385285949059,42.41907549732371
uniform\u44_25.csv,875,532.1857955181109,0.608212337734984,0.4400000000000001,1.4113786143651366,3.207678669011673,66.8796938464428
uniform\u44_30.csv,1230,748.1011754140302,0.6082123377349838,0.43999999999999995,1.403662559043107,3.1901421796434257,94.52917658983831
uniform\u44_35.csv,1680,1021.796727394773,0.608212337734984,0.44000000000000017,1.3977155253169327,3.1766261939021185,129.65716826685724
uniform\u44_40.csv,2200,1338.0671430169646,0.6082123377349838,0.44,1.393318189764525,3.1666322494648296,170.31673724439602
uniform\u48_04.csv,24,17.37175073729012,0.7238229473870884,0.48,1.7388122455221082,3.622525511504392,1.6450514766519757
uniform\u48_05.csv,35,25.333803158548093,0.7238229473870884,0.48000000000000004,1.657014190424487,3.452112896717681,2.6320823626431604
uniform\u48_10.csv,140,101.33521263419235,0.7238229473870882,0.4799999999999999,1.492194254995422,3.108738031240463,11.884082267001164
uniform\u48_15.csv,315,228.0042284269328,0.7238229473870883,0.48000000000000004,1.4457887807263659,3.0120599598465954,27.59890858992022
uniform\u48_20.csv,560,405.3408505367695,0.7238229473870884,0.48000000000000004,1.424009525817586,2.9666865121199706,49.790644213630515
uniform\u48_25.csv,875,633.3450789637022,0.7238229473870883,0.48000000000000015,1.4113786143651366,2.9403721132607004,78.46958794644179
uniform\u48_30.csv,1230,890.3022252861184,0.7238229473870882,0.4800000000000001,1.403662559043107,2.9242969980064726,110.90326455675752
uniform\u48_35.csv,1680,1216.0225516103083,0.7238229473870883,0.4800000000000002,1.3977155253169327,2.911907344410275,152.09614263829891
uniform\u48_40.csv,2200,1592.4104842515944,0.7238229473870884,0.48,1.393318189764525,2.902746228676094,199.77933316938098
uniform\u52_04.csv,24,20.387679684736327,0.8494866535306803,0.52,1.7388122455221082,3.343869702927131,1.9306506913484982
uniform\u52_05.csv,35,29.732032873573807,0.8494866535306802,0.52,1.657014190424487,3.186565750816321,3.0844064083918568
uniform\u52_10.csv,140,118.92813149429519,0.8494866535306799,0.5200000000000001,1.492194254995422,2.869604336529657,13.760978305862157
uniform\u52_15.csv,315,267.5882958621642,0.8494866535306801,0.5199999999999999,1.4457887807263659,2.7803630398583965,31.912894078868167
uniform\u52_20.csv,560,475.71252597718086,0.8494866535306801,0.52,1.424009525817586,2.7384798573415114,57.57886564906431
uniform\u52_25.csv,875,743.3008218393451,0.8494866535306801,0.5199999999999999,1.4113786143651366,2.7141896430098784,90.76315870319107
uniform\u52_30.csv,1230,1044.8685838427366,0.8494866535306802,0.5199999999999999,1.403662559043107,2.6993510750828986,128.2862016244582
uniform\u52_35.csv,1680,1427.1375779315426,0.8494866535306801,0.5199999999999998,1.3977155253169327,2.687914471763333,175.95015044568044
uniform\u52_40.csv,2200,1868.8706377674964,0.8494866535306802,0.52,1.393318189764525,2.6794580572394713,231.0886597110993
uniform\u56_04.csv,24,23.64488294797822,0.9852034561657592,0.56,1.7388122455221082,3.1050218670037646,2.2390978432207467
uniform\u56_05.csv,35,34.48212096580156,0.985203456165759,0.5599999999999999,1.657014190424487,2.9589539114722987,3.55526849588101
uniform\u56_10.csv,140,137.9284838632063,0.9852034561657593,0.5600000000000002,1.492194254995422,2.6646325982061096,15.717919268286458
uniform\u56_15.csv,315,310.3390886922142,0.9852034561657593,0.56,1.4457887807263659,2.5817656798685102,36.473882187233805
uniform\u56_20.csv,560,551.7139354528252,0.9852034561657593,0.56,1.424009525817586,2.542874153245689,65.84351699567479
uniform\u56_25.csv,875,862.0530241450396,0.9852034561657596,0.5600000000000003,1.4113786143651366,2.5203189542234568,103.76833625609719
uniform\u56_30.csv,1230,1211.800251083884,0.9852034561657593,0.5600000000000002,1.403662559043107,2.5065402840055477,146.62010744075775
uniform\u56_35.csv,1680,1655.1418063584756,0.9852034561657593,0.5600000000000003,1.3977155253169327,2.4959205809230927,201.05976743133374
uniform\u56_40.csv,2200,2167.4476035646703,0.9852034561657592,0.56,1.393318189764525,2.48806819600808,264.0993715233021
