config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes	run_id
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	64
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	65
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	66
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	67
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	68
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	69
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	70
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	71
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	72
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	73
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	74
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	75
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	76
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	77
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	78
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	79
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	80
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	81
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	82
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	83
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	84
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	85
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	86
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	87
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	88
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	89
