config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c31	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.1,0.1,0.1	70000
c32	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.2,0.2,0.2	70000
c33	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.3,0.3,0.3	70000
c34	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.4,0.4,0.4	70000
c35	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.5,0.5,0.5	70000
c36	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.6,0.6,0.6	70000
c37	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.7,0.7,0.7	70000
c38	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.8,0.8,0.8	70000
c39	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.9,0.9,0.9	70000
c40	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.0,0.0,0.0	70000
