config	experiment	group	mazeFile	numStartingPositions	pc_files	traces	numEpisodes	numObstacles	run_id
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	34
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	35
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	36
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	37
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	38
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	39
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	40
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	41
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	42
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	43
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	44
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	45
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	46
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	47
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	48
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	49
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	50
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	51
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	52
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	53
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	54
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	55
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	56
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	57
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	58
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	59
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	60
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	61
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	62
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	63
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	64
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	65
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	66
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	67
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	68
