config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes	run_id
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	6
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	7
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	8
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	9
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	10
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	11
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	12
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	13
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	14
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	15
